calculate the throughput for one broker with different p values from 1 to 15
brokers: ,6,    p: ,"{'p1': 2, 'p2': 4, 'p3': 1, 'p4': 5, 'p5': 5, 'p6': 4}",|   ,205441.5,messages/sec
brokers: ,6,    p: ,"{'p1': 6, 'p2': 4, 'p3': 6, 'p4': 5, 'p5': 3, 'p6': 3}",|   ,226015.6,messages/sec
brokers: ,6,    p: ,"{'p1': 5, 'p2': 3, 'p3': 2, 'p4': 4, 'p5': 6, 'p6': 3}",|   ,216377.8,messages/sec
brokers: ,6,    p: ,"{'p1': 6, 'p2': 1, 'p3': 2, 'p4': 1, 'p5': 5, 'p6': 4}",|   ,191888.1,messages/sec
brokers: ,6,    p: ,"{'p1': 4, 'p2': 2, 'p3': 6, 'p4': 2, 'p5': 2, 'p6': 2}",|   ,199644.2,messages/sec
brokers: ,6,    p: ,"{'p1': 3, 'p2': 2, 'p3': 1, 'p4': 6, 'p5': 1, 'p6': 6}",|   ,190579.6,messages/sec
brokers: ,6,    p: ,"{'p1': 3, 'p2': 3, 'p3': 2, 'p4': 6, 'p5': 4, 'p6': 6}",|   ,217606.8,messages/sec
brokers: ,6,    p: ,"{'p1': 1, 'p2': 5, 'p3': 6, 'p4': 3, 'p5': 3, 'p6': 5}",|   ,210004.1,messages/sec
brokers: ,6,    p: ,"{'p1': 1, 'p2': 6, 'p3': 4, 'p4': 3, 'p5': 6, 'p6': 5}",|   ,213770.8,messages/sec
brokers: ,6,    p: ,"{'p1': 3, 'p2': 6, 'p3': 5, 'p4': 2, 'p5': 1, 'p6': 5}",|   ,205841.8,messages/sec
brokers: ,6,    p: ,"{'p1': 2, 'p2': 1, 'p3': 1, 'p4': 4, 'p5': 5, 'p6': 5}",|   ,190659.1,messages/sec
brokers: ,6,    p: ,"{'p1': 1, 'p2': 3, 'p3': 2, 'p4': 4, 'p5': 4, 'p6': 6}",|   ,202424.1,messages/sec
brokers: ,6,    p: ,"{'p1': 4, 'p2': 5, 'p3': 4, 'p4': 4, 'p5': 5, 'p6': 3}",|   ,224386.3,messages/sec
brokers: ,6,    p: ,"{'p1': 5, 'p2': 6, 'p3': 3, 'p4': 6, 'p5': 5, 'p6': 1}",|   ,215479.6,messages/sec
brokers: ,7,    p: ,"{'p1': 4, 'p2': 3, 'p3': 2, 'p4': 1, 'p5': 1, 'p6': 6, 'p7': 5}",|   ,226601.6,messages/sec
brokers: ,7,    p: ,"{'p1': 6, 'p2': 6, 'p3': 6, 'p4': 6, 'p5': 2, 'p6': 3, 'p7': 6}",|   ,266209.1,messages/sec
brokers: ,7,    p: ,"{'p1': 4, 'p2': 4, 'p3': 3, 'p4': 5, 'p5': 7, 'p6': 4, 'p7': 3}",|   ,261255.3,messages/sec
brokers: ,7,    p: ,"{'p1': 6, 'p2': 3, 'p3': 4, 'p4': 7, 'p5': 7, 'p6': 4, 'p7': 5}",|   ,270595.1,messages/sec
brokers: ,7,    p: ,"{'p1': 6, 'p2': 7, 'p3': 4, 'p4': 5, 'p5': 2, 'p6': 3, 'p7': 1}",|   ,245248.3,messages/sec
brokers: ,7,    p: ,"{'p1': 4, 'p2': 5, 'p3': 2, 'p4': 4, 'p5': 3, 'p6': 5, 'p7': 7}",|   ,258801.7,messages/sec
brokers: ,7,    p: ,"{'p1': 4, 'p2': 5, 'p3': 4, 'p4': 1, 'p5': 2, 'p6': 5, 'p7': 7}",|   ,246556.9,messages/sec
brokers: ,7,    p: ,"{'p1': 2, 'p2': 6, 'p3': 7, 'p4': 7, 'p5': 2, 'p6': 6, 'p7': 2}",|   ,254261.8,messages/sec
brokers: ,7,    p: ,"{'p1': 4, 'p2': 7, 'p3': 2, 'p4': 4, 'p5': 7, 'p6': 6, 'p7': 2}",|   ,258023.9,messages/sec
brokers: ,7,    p: ,"{'p1': 4, 'p2': 5, 'p3': 1, 'p4': 1, 'p5': 1, 'p6': 2, 'p7': 1}",|   ,196636.5,messages/sec
brokers: ,7,    p: ,"{'p1': 6, 'p2': 5, 'p3': 7, 'p4': 3, 'p5': 3, 'p6': 4, 'p7': 3}",|   ,261655.5,messages/sec
brokers: ,7,    p: ,"{'p1': 3, 'p2': 5, 'p3': 7, 'p4': 3, 'p5': 5, 'p6': 3, 'p7': 5}",|   ,262135.3,messages/sec
brokers: ,7,    p: ,"{'p1': 6, 'p2': 4, 'p3': 5, 'p4': 3, 'p5': 3, 'p6': 3, 'p7': 4}",|   ,257791.2,messages/sec
brokers: ,7,    p: ,"{'p1': 6, 'p2': 2, 'p3': 1, 'p4': 2, 'p5': 2, 'p6': 4, 'p7': 3}",|   ,226275.2,messages/sec
